,word,wakachi,category
0,アイス,アイス,"['Country in Europe', 'Frozen dessert', 'Supermarket company', 'American rapper', 'American rapper']"
1,アイスクリーム,アイスクリーム,"['Frozen dessert', 'Restaurant company', 'Topic', 'Topic', 'Ice cream']"
2,アイスクリーム,アイスクリーム,"['Frozen dessert', 'Restaurant company', 'Topic', 'Topic', 'Ice cream']"
3,カスタードアイス,カスタード,"['Dessert', 'Topic', 'Pie', 'Topic', 'Topic']"
4,カスタードアイス,アイス,"['Country in Europe', 'Frozen dessert', 'Supermarket company', 'American rapper', 'American rapper']"
5,カスタードアイスクリーム,カスタード,"['Dessert', 'Topic', 'Pie', 'Topic', 'Topic']"
6,カスタードアイスクリーム,アイスクリーム,"['Frozen dessert', 'Restaurant company', 'Topic', 'Topic', 'Ice cream']"
7,クリームアイス,クリーム,"['Dairy product', 'Pharmaceutical', 'Band', 'Frozen dessert', 'Topic']"
8,クリームアイス,アイス,"['Country in Europe', 'Frozen dessert', 'Supermarket company', 'American rapper', 'American rapper']"
9,クリームアイスクリーム,クリーム,"['Dairy product', 'Pharmaceutical', 'Band', 'Frozen dessert', 'Topic']"
10,クリームアイスクリーム,アイスクリーム,"['Frozen dessert', 'Restaurant company', 'Topic', 'Topic', 'Ice cream']"
11,チョコアイス,チョコ,"['Food', 'Chocolate shop in Onomichi, Japan', 'Cookie', 'Topic', 'Topic']"
12,チョコアイス,アイス,"['Country in Europe', 'Frozen dessert', 'Supermarket company', 'American rapper', 'American rapper']"
13,チョコアイスクリーム,チョコ,"['Food', 'Chocolate shop in Onomichi, Japan', 'Cookie', 'Topic', 'Topic']"
14,チョコアイスクリーム,アイスクリーム,"['Frozen dessert', 'Restaurant company', 'Topic', 'Topic', 'Ice cream']"
15,チョコレートアイス,チョコレート,"['Film', 'Food', '2001 film', 'Film', 'Film']"
16,チョコレートアイス,アイス,"['Country in Europe', 'Frozen dessert', 'Supermarket company', 'American rapper', 'American rapper']"
17,チョコレートアイスクリーム,チョコレート,"['Film', 'Food', '2001 film', 'Film', 'Film']"
18,チョコレートアイスクリーム,アイスクリーム,"['Frozen dessert', 'Restaurant company', 'Topic', 'Topic', 'Ice cream']"
19,バニラアイス,バニラ,"['2001 film', 'Topic', 'Plants', 'Aviation company', 'American rapper']"
20,バニラアイス,アイス,"['Country in Europe', 'Frozen dessert', 'Supermarket company', 'American rapper', 'American rapper']"
21,バニラアイスクリーム,バニラ,"['2001 film', 'Topic', 'Plants', 'Aviation company', 'American rapper']"
22,バニラアイスクリーム,アイスクリーム,"['Frozen dessert', 'Restaurant company', 'Topic', 'Topic', 'Ice cream']"
23,抹茶アイス,抹茶,"['Tea', 'Cafe in London, England', 'Topic', 'Cafe in Uji, Japan', 'Japanese sweets restaurant in Fukuoka, Japan']"
24,抹茶アイス,アイス,"['Country in Europe', 'Frozen dessert', 'Supermarket company', 'American rapper', 'American rapper']"
25,抹茶アイスクリーム,抹茶,"['Tea', 'Cafe in London, England', 'Topic', 'Cafe in Uji, Japan', 'Japanese sweets restaurant in Fukuoka, Japan']"
26,抹茶アイスクリーム,アイスクリーム,"['Frozen dessert', 'Restaurant company', 'Topic', 'Topic', 'Ice cream']"
27,イースト,イースト,"['American actor', 'Film', 'British TV programme', 'Company', 'Food']"
28,イースト,イースト,"['American actor', 'Film', 'British TV programme', 'Company', 'Food']"
29,ドライイースト,ドライ,"['Actress', 'Topic', 'Topic', 'Topic', 'Syndrome']"
30,ドライイースト,イースト,"['American actor', 'Film', 'British TV programme', 'Company', 'Food']"
31,酵母,酵母,"['Fungus', 'Topic', 'Dough', 'Fungus', 'Fungus']"
32,天然酵母,天然,"['Topic', 'Topic', 'Topic', 'Chinese restaurant in Cheonan, South Korea']"
33,天然酵母,酵母,"['Fungus', 'Topic', 'Dough', 'Fungus', 'Fungus']"
34,いなにわうどん,なにわ,"['Super public bath in Osaka, Japan', 'Topic', 'Musical group', 'Topic', 'Railway station']"
35,いなにわうどん,うどん,"['Noodle', 'Japanese journalist', 'Company', 'Udon noodle restaurant in Kitakyushu, Japan', 'Topic']"
36,ウドン,ウドン,"['Commune in France', 'Town in Cambodia', 'University in Udon Thani, Thailand', 'Village in Belgium', 'Hospital in Ban Lueam, Thailand']"
37,うどん,うどん,"['Noodle', 'Japanese journalist', 'Company', 'Udon noodle restaurant in Kitakyushu, Japan', 'Topic']"
38,うどん,うどん,"['Noodle', 'Japanese journalist', 'Company', 'Udon noodle restaurant in Kitakyushu, Japan', 'Topic']"
39,きしめん,きし,"['Japanese actress', 'Japanese actress', 'Company', 'Unagi restaurant in Takarazuka, Japan', 'Video game']"
40,きしめん,めん,"['Fictional character', 'Card game', 'Topic', 'Topic', 'Animated series']"
41,さぬきうどん,ぬき,"['Japanese professional baseball player', 'Japanese voice actress', 'Buddhist temple in Tokyo, Japan', 'Otolaryngology clinic in Tokyo, Japan', 'Topic']"
42,さぬきうどん,うどん,"['Noodle', 'Japanese journalist', 'Company', 'Udon noodle restaurant in Kitakyushu, Japan', 'Topic']"
43,稲庭うどん,稲庭,"['Topic', 'Udon noodle restaurant in Tokyo, Japan', 'Udon noodle restaurant in Tokyo, Japan', 'Udon noodle restaurant in Tokyo, Japan']"
44,稲庭うどん,うどん,"['Noodle', 'Japanese journalist', 'Company', 'Udon noodle restaurant in Kitakyushu, Japan', 'Topic']"
45,稲庭饂飩,稲庭,"['Topic', 'Udon noodle restaurant in Tokyo, Japan', 'Udon noodle restaurant in Tokyo, Japan', 'Udon noodle restaurant in Tokyo, Japan']"
46,稲庭饂飩,饂飩,"['Udon noodle restaurant in Tokyo, Japan', 'Udon noodle restaurant in Tokyo, Japan', 'Kaiseki restaurant in Takamatsu, Japan', 'Udon noodle restaurant in Osaka, Japan', 'Udon noodle restaurant in Sapporo, Japan']"
47,讃岐うどん,讃岐,"['Topic', 'Football club', 'Topic', 'Topic', 'Railway station']"
48,讃岐うどん,うどん,"['Noodle', 'Japanese journalist', 'Company', 'Udon noodle restaurant in Kitakyushu, Japan', 'Topic']"
49,讃岐饂飩,讃岐,"['Topic', 'Football club', 'Topic', 'Topic', 'Railway station']"
50,讃岐饂飩,饂飩,"['Udon noodle restaurant in Tokyo, Japan', 'Udon noodle restaurant in Tokyo, Japan', 'Kaiseki restaurant in Takamatsu, Japan', 'Udon noodle restaurant in Osaka, Japan', 'Udon noodle restaurant in Sapporo, Japan']"
